Chunk Column,Chunk Row,Chunk,Chunk X,Chunk Y,Row,Building,Room def,Vehicle scripts,Floor X,Floor Y
1,1,"87, 46",87,46,1,Van,shed,"Base.Van, Base.VanDeerValley, Base.VanJonesFabrication, Base.VanMetalheads, Base.VanOldMill, Base.VanRiversideFabrication, Base.VanSeats_Valkyrie, Base.Van_BugWipers, Base.Van_Locksmith  (+ every other Van*/StepVan* as matcher overflow)"
1,1,"87, 46",87,46,2,Van,shed,"Base.Van, Base.VanDeerValley, Base.VanJonesFabrication, Base.VanMetalheads, Base.VanOldMill, Base.VanRiversideFabrication, Base.VanSeats_Valkyrie, Base.Van_BugWipers, Base.Van_Locksmith  (+ every other Van*/StepVan* as matcher overflow)"
1,1,"87, 46",87,46,3,Van_Ambulance,medical,Base.VanAmbulance (+ Base.90fordF350ambulance overflowing in from the bay)
1,1,"87, 46",87,46,4,Truck_Armored,jewelrystorage,Base.87fordF700bank
1,1,"87, 46",87,46,5,Van_Art_Supply,artstore,Base.Van_CraftSupplies
1,1,"87, 46",87,46,6,Van_Alcohol,bar,"Base.Van_Charlemange_Beer, Base.Van_KnoxDisti"
1,2,"87, 47",87,47,1,Van_Blacksmith,blacksmith,Base.Van_Blacksmith
1,2,"87, 47",87,47,2,Van_Butcher,butcher,
1,2,"87, 47",87,47,3,Van_VW_Camper,campingstorage,"Base.63Type2Van, Base.63Type2VanHippie, Base.63Type2VanApocalypse, Base.63Type2VanMilitary"
1,2,"87, 47",87,47,4,Van_Carpenter,carpentryworkshop,"Base.VanCarpenter, Base.VanJohnMcCoy, Base.VanMccoy, Base.VanMicheles, Base.VanRosewoodworking, Base.VanWPCarpentry"
1,2,"87, 47",87,47,5,Van_Comms,radiostorage,"Base.VanKnoxCom, Base.VanRadio, Base.VanRadio_3N"
1,2,"87, 47",87,47,6,Van_Construction,construction,"Base.VanBeckmans, Base.VanBuilder, Base.VanCoastToCoast, Base.VanKerrHomes, Base.VanPennSHam"
1,3,"87, 48",87,48,1,Van_Electrical,electronicsstorage,"Base.Van_LectroMax, Base.VanPluggedInElectrics, Base.Van_VoltMojo"
1,3,"87, 48",87,48,2,Van_Farm,farmstorage,Base.VanOvoFarm
1,3,"87, 48",87,48,3,Van_Fossil,fossoil,Base.VanFossoil
1,3,"87, 48",87,48,4,Truck_Furniture,furniturestore,Base.87fordF700box
1,3,"87, 48",87,48,5,Van_Gardening,gardenstore,"Base.VanGardener, Base.VanGardenGods, Base.VanLouisvilleLandscaping, Base.VanMooreMechanics, Base.VanTreyBaines"
1,3,"87, 48",87,48,6,Van_Gas_and_Electric,gasstore,"Base.VanKnobCreekGas, Base.VanUtility"
2,1,"88, 46",88,46,1,Van_Glass,glassesstore,Base.Van_Glass
2,1,"88, 46",88,46,2,Van_Greens,grocery,"Base.VanGreenes, Base.Van_Perfick_Potato"
2,1,"88, 46",88,46,3,Van_Leather,leatherworkshop,Base.Van_Leather
2,1,"88, 46",88,46,4,Van_Love,stripclubvip,"Base.VanSeats_LadyDelighter, Base.VanSeats_Mural, Base.VanSeats_Space, Base.VanSeats_Trippy, Base.Van_Transit"
2,1,"88, 46",88,46,5,Van_Mail,post,Base.VanMail
2,1,"88, 46",88,46,6,Van_Masonry,masonrystore,Base.Van_Masonry
2,2,"88, 47",88,47,1,Van_Mechanic,mechanic,"Base.VanMechanic, Base.VanBrewsterHarbin, Base.VanKorshunovs, Base.VanMobileMechanics, Base.VanPlattAuto"
2,2,"88, 47",88,47,2,Van_Plumbing,toolstore,Base.VanUncloggers
2,2,"88, 47",88,47,3,Van_Police,policestorage,
2,2,"88, 47",88,47,4,Van_Prison,prisoncells,Base.VanSeats_Prison
2,2,"88, 47",88,47,5,Van_Seats,empty,"Base.VanSeats, Base.VanSeatsAirportShuttle, Base.VanSeats_Creature"
2,2,"88, 47",88,47,6,Van_Seats,empty,"Base.VanSeats, Base.VanSeatsAirportShuttle, Base.VanSeats_Creature"
2,3,"88, 48",88,48,1,Van_Spiffo,spiffoskitchen,Base.VanSpiffo
2,3,"88, 48",88,48,2,Van_Tailor,tailoringworkshop,Base.Van_HeritageTailors
2,3,"88, 48",88,48,3,Van_Welding,weldingstorage,"Base.VanMeltingPointMetal, Base.VanSchwabSheetMetal, Base.Van_MassGenFac"
2,3,"88, 48",88,48,4,Ambulance_Bay,medical,Base.90fordF350ambulance
2,3,"88, 48",88,48,5,Bus,shed,"Base.87fordB700military, Base.87fordB700prison, Base.87fordB700school  (all three as fallback overflow)"
2,3,"88, 48",88,48,6,Bus,shed,"Base.87fordB700military, Base.87fordB700prison, Base.87fordB700school  (all three as fallback overflow)"
3,1,"89,46",89,46,1,Step_Van,storage,Base.StepVan  (+ StepVan* overflow)
3,1,"89, 46",89,46,2,Step_Van,storage,Base.StepVan  (+ StepVan* overflow)
3,1,"89, 46",89,46,3,Step_Van_Beer,beergarden,Base.StepVan_Genuine_Beer
